"OldRelative","DestinationRelative","SHA256","HashMatch"
"阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.age.sha256","阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.age.sha256","4883f123d917a8823eefd4c656638950fad00bc3060ee01585b213049eccf4e5","True"
"阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.sha256","阶段二/异地备份/knowtrace-20260907T151359Z-74b93d1a.tar.gz.sha256","b976b293e1a8503bd5563858fc1f36d2be2dc24e366490c823f2d2e7311ead9f","True"
"阶段二/异地备份/README.md","阶段二/异地备份/README.md","0f6242d884f437e1840ee17bdca4a029ab8651241c7ef9e4e73555e0c44db3aa","True"
"阶段二/证据/2026-09-07-本地备份恢复演练.md","阶段二/证据/2026-09-07-本地备份恢复演练.md","92eb0540ffc49bbb28ea00cdf6e9b32b28878e3577f43d395852a4ff3fb65ee8","True"
"阶段二/证据/2026-09-07-本地脚本验证.md","阶段二/证据/2026-09-07-本地脚本验证.md","7dc87e1dfea5ffb0d9bcd197457d6c8d67f25f2f179b8db7224755138c9318e8","True"
"阶段二/证据/2026-09-07-SSH与HTTPS复测.md","阶段二/证据/2026-09-07-SSH与HTTPS复测.md","0668d14a59bbaf74e3bb42188afb0a6c3cb11d83a634c63a3afb60fdd0551321","True"
"阶段二/证据/2026-09-08-版本发布与受控重启.md","阶段二/证据/2026-09-08-版本发布与受控重启.md","663ede7982d332f00da302bffa71f9a99a78594d3be9ea3e918861f9614abbff","True"
"阶段二/证据/2026-09-08-压测与资源证据.md","阶段二/证据/2026-09-08-压测与资源证据.md","5d7056fb6f69d2105605824adfe9c161fe90d5da6d8a4d810251ab6a4f6d51d0","True"
"阶段二/证据/2026-09-08-VPS真实备份与恢复.md","阶段二/证据/2026-09-08-VPS真实备份与恢复.md","3b78a1847c4653d005711eab3accdc330ff25f6e38177bb106d2aaffd37be5dc","True"
"阶段二/Bug记录/BUG-模板.md","阶段二/Bug记录/BUG-模板.md","36e7606dcd7719251ce7c4db0622bb099912cbb2abe6e71f7e17e5f8a62064a5","True"
"阶段二/Bug记录/BUG-S2-001-Redis-BGSAVE完成判定竞态.md","阶段二/Bug记录/BUG-S2-001-Redis-BGSAVE完成判定竞态.md","349a727de190ec11f49f9b107f60121c0d6763b6fd6840378c24a27e6fadf5c0","True"
"阶段二/Bug记录/BUG-S2-002-MySQL恢复就绪误判.md","阶段二/Bug记录/BUG-S2-002-MySQL恢复就绪误判.md","f186d419bf0c42fbda40758fc23c5832a9690f2ef8cc397e575692ed2689ee99","True"
"阶段二/Bug记录/BUG-S2-003-MySQL表统计漏项.md","阶段二/Bug记录/BUG-S2-003-MySQL表统计漏项.md","7e1016cf4e11344c6ef34dfd7b02a32acd5fbde1dbfc6dc431fa780034f9cfb0","True"
"阶段二/Bug记录/BUG-S2-004-Docker-cp无法导出tmpfs-RDB.md","阶段二/Bug记录/BUG-S2-004-Docker-cp无法导出tmpfs-RDB.md","69379daeda13dc7d90c5078278f55d1b358b337973fe5a3ff37eeaba0b70618f","True"
"阶段二/Bug记录/BUG-S2-005-Python默认CA导致公网压测TLS失败.md","阶段二/Bug记录/BUG-S2-005-Python默认CA导致公网压测TLS失败.md","579a55b09c8a5a93f2e79652cb59eff2013b52f7c57b8a75b44bed05426de309","True"
"阶段二/README.md","阶段二/文档/README-D盘旧版阶段二交付.md","4c45642d4ba9156352bdb2a4ffe4da11e3bd86650634cc475a45460901a9a4a5","True"
"阶段二/SOP/01-阶段二执行清单.md","阶段二/SOP/01-阶段二执行清单.md","954dbd834bc8a5994ab789f5ff89f92e6cf8301a69b046b3f39aadaa2eabf929","True"
"阶段三/02-日志位置与查询.md","阶段三/文档/02-日志位置与查询.md","7c9f35f42c6faa11420f664b294c697bd0e5c2c880d277f61bf8447e6fc4f8a5","True"
"阶段三/待办/SMTP邮件告警待验收.md","阶段三/待办/SMTP邮件告警待验收.md","527bcde5e28706a6f4ed561b3dd545debd379989973e168f395212e6109a84cb","True"
"阶段三/故障记录/INC-S3-001-Blackbox-Exporter停止告警演练.md","阶段三/故障记录/INC-S3-001-Blackbox-Exporter停止告警演练.md","4d1efff70aa7425705c9c48ef0608b399e8af678cb524c859188fce07df35cd0","True"
"阶段三/问题记录/ISSUE-S3-001-Vitest无法直接加载server-only.md","阶段三/问题记录/ISSUE-S3-001-Vitest无法直接加载server-only.md","44131eea70ab3f26315e132467177bb022edf5a744ea878e79ef97a88889f54a","True"
"阶段三/问题记录/ISSUE-S3-002-Prometheus只读父挂载与嵌套Secret冲突.md","阶段三/问题记录/ISSUE-S3-002-Prometheus只读父挂载与嵌套Secret冲突.md","842650014b96a9ae4fc6445e69cd3f0995d76600d2ea475ea62b98dcc75e8a7b","True"
"阶段三/问题记录/ISSUE-S3-003-Python响应头大小写导致误判.md","阶段三/问题记录/ISSUE-S3-003-Python响应头大小写导致误判.md","e0f4f871db8da4c1e0f6c7a4861b2b14ca552f03abc97e2eaebd1b316f034083","True"
"阶段三/问题记录/ISSUE-S3-004-Docker29仅internal网络不发布端口.md","阶段三/问题记录/ISSUE-S3-004-Docker29仅internal网络不发布端口.md","36aa5feaef04715b2e881ec5708174dd9f2f5d1973f4227b5115ec3c1f77595a","True"
"阶段三/问题记录/ISSUE-S3-005-Kibana-384MiB堆耗尽.md","阶段三/问题记录/ISSUE-S3-005-Kibana-384MiB堆耗尽.md","f6b97eb436b698a88ef0f00c90fa3ab7437c7a3890a4e3c6f1923e78a9867346","True"
"阶段三/问题记录/ISSUE-S3-006-ECS-source字段映射冲突.md","阶段三/问题记录/ISSUE-S3-006-ECS-source字段映射冲突.md","bdfbd5be11dc0d44293f896ea983ced59228deb74778ce31b145fbd6ae7463f6","True"
"阶段三/问题记录/ISSUE-S3-007-ELK默认停止超时导致137.md","阶段三/问题记录/ISSUE-S3-007-ELK默认停止超时导致137.md","bf4b05e3ea90592c86d87712523a498c523a07ef73759a8b56392a48c123e640","True"
"阶段三/问题记录/ISSUE-S3-008-Windows代理链导致TLS握手误判.md","阶段三/问题记录/ISSUE-S3-008-Windows代理链导致TLS握手误判.md","c4cd26d98035bcce000f5aefede6236c24286aaffd5a2a04310089e3448b8df6","True"
"阶段三/问题记录/ISSUE-S3-009-UFW保留未监听22端口放行.md","阶段三/问题记录/ISSUE-S3-009-UFW保留未监听22端口放行.md","e54bb943df67d86ea1600fbdc788bb0638f9b0248a1fb2d44bf8517f21f27d0e","True"
"阶段三/问题记录/ISSUE-S3-010-163端口465与Alertmanager-TLS语义冲突.md","阶段三/问题记录/ISSUE-S3-010-163端口465与Alertmanager-TLS语义冲突.md","338387f7fe5af77e4b54b95f88e29574c53e1324b217f11bc40af2401bb6c2d0","True"
"阶段三/问题记录/ISSUE-S3-011-客户端验收命令误用造成假失败.md","阶段三/问题记录/ISSUE-S3-011-客户端验收命令误用造成假失败.md","ea7db72cefc5823a8ad159f925d15b79e9e864162a2e08c1676b858ff9e965f0","True"
"阶段三/问题记录/README.md","阶段三/问题记录/README.md","3c490a3e0e95b12eff3f07cf645b3c2c1d413520826eeea3af51177430c7fa03","True"
"阶段三/证据/2026-09-08-公网HTTPS与最终状态.md","阶段三/证据/2026-09-08-公网HTTPS与最终状态.md","ff589d2366b3f57d9b8e276157c44d1c75a29e7eef33848015e1363bc87c7e05","True"
"阶段三/证据/2026-09-08-核心监控部署与验收.md","阶段三/证据/2026-09-08-核心监控部署与验收.md","ef0006015f224d5e3b93f0b9829ae6e6b8459039452cc27623d5de7c02cffea8","True"
"阶段三/证据/2026-09-08-Blackbox告警故障演练.md","阶段三/证据/2026-09-08-Blackbox告警故障演练.md","56a7a382b22381461e085009caf1035a8a307af335002f4205976eeec3f1a3c1","True"
"阶段三/证据/2026-09-08-ELK端到端与资源证据.md","阶段三/证据/2026-09-08-ELK端到端与资源证据.md","7ff7147bcab4ebeb1b55605f527afedb8f4ae993d23a236ec584539bc8489db2","True"
"阶段三/README.md","阶段三/文档/README-D盘旧版阶段三交付.md","aa2e8c6611fc7e50f0fd9d5d1c5246611a9d2c1e9f0e1618652c57155333d8a4","True"
"阶段三/SOP/01-阶段三执行清单.md","阶段三/SOP/01-阶段三执行清单.md","2f67ef75e269fbc4119d9aca264a1b0f5d995a5e9f8a284d296ef2d1f14fad13","True"
"证据/生产级验收证据清单.md","总览/05-生产级验收证据清单.md","5051faf8ebf6e8dc692dfb3ef52b21fbc73956bbf1a60421c0b4b48181850df5","True"
